"Domain","Base Domain","URL","Agency","Sources","Participates in DAP?"
"foreignassistance.gov","foreignassistance.gov","https://foreignassistance.gov","Department of State","dotgov","Yes"
"forestsandrangelands.gov","forestsandrangelands.gov","https://forestsandrangelands.gov","U.S. Department of Agriculture","dotgov","Yes"
"forfeiture.gov","forfeiture.gov","https://forfeiture.gov","Department of Justice","dotgov","Yes"
"fpc.gov","fpc.gov","https://www.fpc.gov","General Services Administration","dotgov","Yes"
"fpds.gov","fpds.gov","https://fpds.gov","General Services Administration","dotgov","Yes"
"fraho.gov","fraho.gov","https://fraho.gov","GOV Domain OPS","dotgov","No"
"frpg.gov","frpg.gov","https://www.frpg.gov","General Services Administration","dotgov","Yes"
"frtib.gov","frtib.gov","https://www.frtib.gov","Federal Retirement Thrift Investment Board","dotgov","No"
"frtr.gov","frtr.gov","https://frtr.gov","Environmental Protection Agency","dotgov","Yes"
"fsd.gov","fsd.gov","https://fsd.gov","General Services Administration","dotgov","Yes"
"fsgb.gov","fsgb.gov","https://www.fsgb.gov","Department of State","dotgov","No"
"fsrs.gov","fsrs.gov","https://www.fsrs.gov","General Services Administration","dotgov","Yes"
"ftc.gov","ftc.gov","https://www.ftc.gov","Federal Trade Commission","dotgov","Yes"
"ftccomplaintassistant.gov","ftccomplaintassistant.gov","https://ftccomplaintassistant.gov","Federal Trade Commission","dotgov","Yes"
"ftcefile.gov","ftcefile.gov","https://ftcefile.gov","Federal Trade Commission","dotgov","No"
"fueleconomy.gov","fueleconomy.gov","https://fueleconomy.gov","Department of Energy","dotgov","No"
"fvap.gov","fvap.gov","https://www.fvap.gov","Department of Defense","dotgov","Yes"
"fws.gov","fws.gov","https://fws.gov","Department of the Interior","dotgov","Yes"
"g5.gov","g5.gov","https://g5.gov","Department of Education","dotgov","Yes"
"gcmrc.gov","gcmrc.gov","https://gcmrc.gov","Department of the Interior","dotgov","Yes"
"genome.gov","genome.gov","https://www.genome.gov","Department of Health and Human Services","dotgov","No"
"geomac.gov","geomac.gov","https://geomac.gov","Department of the Interior","dotgov","No"
"geoplatform.gov","geoplatform.gov","https://www.geoplatform.gov","Department of the Interior","dotgov","No"
"getsmartaboutdrugs.gov","getsmartaboutdrugs.gov","https://www.getsmartaboutdrugs.gov","Department of Justice","dotgov","Yes"
"ginniemae.gov","ginniemae.gov","https://ginniemae.gov","Department of Housing and Urban Development","dotgov","Yes"
"girlshealth.gov","girlshealth.gov","https://www.girlshealth.gov","Department of Health and Human Services","dotgov","Yes"
"globalchange.gov","globalchange.gov","https://www.globalchange.gov","United States Global Change Research Program","dotgov","Yes"
"globe.gov","globe.gov","https://www.globe.gov","National Aeronautics and Space Administration","dotgov","No"
"godirect.gov","godirect.gov","https://godirect.gov","Department of the Treasury","dotgov","No"
"goes-r.gov","goes-r.gov","http://goes-r.gov","Department of Commerce","dotgov","Yes"
"governmentjobs.gov","governmentjobs.gov","https://governmentjobs.gov","Office of Personnel Management","dotgov","No"
"govloans.gov","govloans.gov","https://www.govloans.gov","Department of Labor","dotgov","Yes"
"govsales.gov","govsales.gov","https://www.govsales.gov","General Services Administration","dotgov","Yes"
"gps.gov","gps.gov","https://www.gps.gov","Department of Commerce","dotgov","Yes"
